pathway	name	entropy	category	subcategory
00010	Glycolysis / Gluconeogenesis	3.98518583078017	Metabolism	Carbohydrate metabolism
00020	Citrate cycle (TCA cycle)	4.97884403852556	Metabolism	Carbohydrate metabolism
00030	Pentose phosphate pathway	4.37343617486723	Metabolism	Carbohydrate metabolism
00040	Pentose and glucuronate interconversions	3.39402730505325	Metabolism	Carbohydrate metabolism
00051	Fructose and mannose metabolism	4.59964492147196	Metabolism	Carbohydrate metabolism
00052	Galactose metabolism	4.18375537330578	Metabolism	Carbohydrate metabolism
00053	Ascorbate and aldarate metabolism	3.08600426665301	Metabolism	Carbohydrate metabolism
00061	Fatty acid biosynthesis	4.6887034560692	Metabolism	Lipid metabolism
00062	Fatty acid elongation	5.0092923941219	Metabolism	Lipid metabolism
00071	Fatty acid degradation	4.61192710936324	Metabolism	Lipid metabolism
00100	Steroid biosynthesis	4.67086002048656	Metabolism	Lipid metabolism
00120	Primary bile acid biosynthesis	3.81813748023935	Metabolism	Lipid metabolism
00130	Ubiquinone and other terpenoid-quinone biosynthesis	4.57410838757109	Metabolism	Metabolism of cofactors and vitamins
00140	Steroid hormone biosynthesis	2.99362314656262	Metabolism	Lipid metabolism
00190	Oxidative phosphorylation	5.04164122313733	Metabolism	Energy metabolism
00220	Arginine biosynthesis	4.35722457925997	Metabolism	Amino acid metabolism
00230	Purine metabolism	4.75317925038232	Metabolism	Nucleotide metabolism
00232	Caffeine metabolism	2.13002347057983	Metabolism	Biosynthesis of other secondary metabolites
00240	Pyrimidine metabolism	4.73563292247227	Metabolism	Nucleotide metabolism
00250	Alanine, aspartate and glutamate metabolism	4.39539151120386	Metabolism	Amino acid metabolism
00260	Glycine, serine and threonine metabolism	4.27512414203862	Metabolism	Amino acid metabolism
00270	Cysteine and methionine metabolism	4.36918869855471	Metabolism	Amino acid metabolism
00280	Valine, leucine and isoleucine degradation	4.97336293598459	Metabolism	Amino acid metabolism
00290	Valine, leucine and isoleucine biosynthesis	4.34718850885587	Metabolism	Amino acid metabolism
00310	Lysine degradation	4.96017952271891	Metabolism	Amino acid metabolism
00330	Arginine and proline metabolism	4.51156706289343	Metabolism	Amino acid metabolism
00340	Histidine metabolism	4.13635625773661	Metabolism	Amino acid metabolism
00350	Tyrosine metabolism	3.45941477150853	Metabolism	Amino acid metabolism
00360	Phenylalanine metabolism	3.51863308119005	Metabolism	Amino acid metabolism
00380	Tryptophan metabolism	4.42834665980014	Metabolism	Amino acid metabolism
00400	Phenylalanine, tyrosine and tryptophan biosynthesis	2.57995614659172	Metabolism	Amino acid metabolism
00410	beta-Alanine metabolism	4.60284952565681	Metabolism	Metabolism of other amino acids
00430	Taurine and hypotaurine metabolism	4.29479317275619	Metabolism	Metabolism of other amino acids
00440	Phosphonate and phosphinate metabolism	5.15666184569989	Metabolism	Metabolism of other amino acids
00450	Selenocompound metabolism	5.08902161933952	Metabolism	Metabolism of other amino acids
00470	D-Amino acid metabolism	4.77785608589501	Metabolism	Metabolism of other amino acids
00480	Glutathione metabolism	4.56160747283021	Metabolism	Metabolism of other amino acids
